Numer_char,Komentarz,Grupa,Dzial,Osoba,sciezka_char
000647,Komentarz908,Grupa 2,Dzial 1,Ramiro Thompson,000010/000092/000190/000647
000648,Komentarz211,Grupa 1,Dzial 3,Izydor Patryk,000005/000038/000287/000648
000649,Komentarz726,Grupa 1,Dzial 0,Elsie Alvarez,000019/000082/000305/000649
000650,Komentarz827,Grupa 1,Dzial 1,Angelica Hale,000017/000093/000297/000650
000651,Komentarz970,Grupa 0,Dzial 3,Lorraine Cortez ,000019/000083/000282/000651
000652,Komentarz840,Grupa 0,Dzial 2,Cora Moody ,000011/000096/000310/000652
000653,Komentarz882,Grupa 0,Dzial 2,Jenna Dean,000002/000050/000324/000653
000654,Komentarz200,Grupa 1,Dzial 0,Alison Lyons,000020/000063/000160/000654
000655,Komentarz562,Grupa 2,Dzial 2,Christina Nguyen,000012/000074/000312/000655
000656,Komentarz855,Grupa 2,Dzial 0,Cecelia Joseph,000010/000034/000233/000656
000657,Komentarz19,Grupa 1,Dzial 1,Orlando Delgado,000009/000047/000288/000657
000658,Komentarz624,Grupa 0,Dzial 2,Noah Barnes ,000021/000052/000170/000658
000659,Komentarz617,Grupa 1,Dzial 1,Luther Ramsey ,000020/000069/000222/000659
000660,Komentarz475,Grupa 1,Dzial 0,Rogelio Tucker,000012/000074/000149/000660
000661,Komentarz173,Grupa 2,Dzial 1,Diana Pierce ,000009/000085/000322/000661
000662,Komentarz722,Grupa 1,Dzial 1,Brett Swanson ,000005/000080/000236/000662
000663,Komentarz900,Grupa 1,Dzial 1,Elizabeth Conner,000013/000066/000152/000663
000664,Komentarz267,Grupa 0,Dzial 3,Jose Gilbert ,000012/000074/000266/000664
000665,Komentarz766,Grupa 0,Dzial 2,Allen Thompson,000005/000080/000120/000665
000666,Komentarz385,Grupa 1,Dzial 1,Luther Ramsey ,000013/000072/000161/000666
000667,Komentarz488,Grupa 2,Dzial 1,Marta Clarke,000010/000092/000319/000667
000668,Komentarz995,Grupa 1,Dzial 3,Izydor Patryk,000019/000076/000135/000668
000669,Komentarz154,Grupa 2,Dzial 3,Shawn Santos ,000022/000049/000169/000669
000670,Komentarz795,Grupa 0,Dzial 2,Bernard Ellis ,000011/000096/000321/000670
000671,Komentarz409,Grupa 0,Dzial 2,Bernard Ellis ,000004/000036/000309/000671
000672,Komentarz31,Grupa 0,Dzial 2,Cora Moody ,000005/000030/000191/000672
000673,Komentarz38,Grupa 2,Dzial 3,Corey Mccormick ,000004/000031/000208/000673
000674,Komentarz828,Grupa 1,Dzial 0,Elsie Alvarez,000014/000073/000260/000674
000675,Komentarz966,Grupa 0,Dzial 3,Janie Grant,000014/000095/000187/000675
000676,Komentarz839,Grupa 0,Dzial 3,Paulette Mcdaniel ,000013/000066/000163/000676
000677,Komentarz176,Grupa 2,Dzial 1,Ramiro Thompson,000022/000081/000249/000677
000678,Komentarz74,Grupa 0,Dzial 2,Irene Sandoval,000011/000077/000291/000678
000679,Komentarz370,Grupa 2,Dzial 1,Diana Pierce ,000005/000030/000315/000679
000680,Komentarz677,Grupa 1,Dzial 1,Angelica Hale,000004/000053/000304/000680
000681,Komentarz701,Grupa 2,Dzial 3,Corey Mccormick ,000008/000029/000241/000681
000682,Komentarz10,Grupa 1,Dzial 1,Ernestine Mathis ,000011/000054/000127/000682
000683,Komentarz228,Grupa 2,Dzial 2,Christina Nguyen,000006/000039/000112/000683
000684,Komentarz87,Grupa 2,Dzial 1,Diana Pierce ,000022/000049/000169/000684
000685,Komentarz152,Grupa 1,Dzial 0,Alison Lyons,000012/000046/000210/000685
000686,Komentarz552,Grupa 0,Dzial 2,Cora Moody ,000002/000050/000324/000686
000687,Komentarz319,Grupa 0,Dzial 2,Jenna Dean,000020/000063/000228/000687
000688,Komentarz370,Grupa 0,Dzial 1,Frederick Mclaughlin,000011/000096/000321/000688
000689,Komentarz640,Grupa 1,Dzial 1,Angelica Hale,000010/000075/000273/000689
000690,Komentarz930,Grupa 2,Dzial 0,Cecelia Joseph,000019/000082/000275/000690
000691,Komentarz937,Grupa 1,Dzial 3,Izydor Patryk,000010/000041/000316/000691
000692,Komentarz228,Grupa 2,Dzial 2,Christina Nguyen,000009/000085/000124/000692
000693,Komentarz946,Grupa 1,Dzial 1,Brett Swanson ,000005/000038/000287/000693
000694,Komentarz932,Grupa 0,Dzial 2,Al Welch ,000011/000028/000308/000694
000695,Komentarz47,Grupa 0,Dzial 2,Cora Moody ,000009/000085/000124/000695
000696,Komentarz385,Grupa 1,Dzial 3,Izydor Patryk,851968/000016/000100/000696
000697,Komentarz769,Grupa 0,Dzial 2,Noah Barnes ,000006/000026/000290/000697
000698,Komentarz924,Grupa 2,Dzial 1,Ramiro Thompson,000012/000046/000131/000698
000699,Komentarz550,Grupa 0,Dzial 2,Al Welch ,000013/000098/000176/000699
000700,Komentarz390,Grupa 1,Dzial 3,Rex Casey ,000010/000075/000117/000700
000701,Komentarz749,Grupa 0,Dzial 2,Noah Barnes ,000009/000047/000137/000701
000702,Komentarz23,Grupa 0,Dzial 2,Allen Thompson,000010/000092/000190/000702
000703,Komentarz906,Grupa 1,Dzial 0,Elsie Alvarez,000015/000088/000219/000703
000704,Komentarz704,Grupa 1,Dzial 1,Orlando Delgado,000011/000077/000188/000704
000705,Komentarz792,Grupa 2,Dzial 2,Christina Nguyen,000010/000041/000197/000705
000706,Komentarz810,Grupa 0,Dzial 3,Jose Gilbert ,000010/000037/000302/000706
000707,Komentarz778,Grupa 0,Dzial 3,Jose Gilbert ,000010/000034/000233/000707
000708,Komentarz108,Grupa 0,Dzial 2,Bernard Ellis ,000014/000095/000132/000708
000709,Komentarz241,Grupa 0,Dzial 3,Naomi Shelton,000022/000094/000153/000709
000710,Komentarz809,Grupa 1,Dzial 1,Brett Swanson ,000010/000092/000319/000710
000711,Komentarz506,Grupa 0,Dzial 2,Noah Barnes ,000010/000041/000130/000711
000712,Komentarz183,Grupa 0,Dzial 2,Nora Roberts,000011/000077/000291/000712
000713,Komentarz668,Grupa 0,Dzial 2,Al Welch ,000013/000098/000278/000713
000714,Komentarz737,Grupa 1,Dzial 0,Alison Lyons,000006/000026/000290/000714
000715,Komentarz358,Grupa 0,Dzial 3,Jose Gilbert ,000009/000047/000165/000715
000716,Komentarz558,Grupa 0,Dzial 2,Noah Barnes ,000011/000096/000108/000716
000717,Komentarz663,Grupa 2,Dzial 3,Corey Mccormick ,000018/000071/000128/000717
000718,Komentarz913,Grupa 0,Dzial 3,Naomi Shelton,000015/000088/000186/000718
000719,Komentarz476,Grupa 2,Dzial 3,Shawn Santos ,000011/000096/000310/000719
000720,Komentarz319,Grupa 2,Dzial 2,Alberto Allison ,000013/000066/000152/000720
000721,Komentarz846,Grupa 1,Dzial 1,Elizabeth Conner,000002/000050/000307/000721
000722,Komentarz36,Grupa 0,Dzial 3,Salvador Reese ,000014/000060/000185/000722
000723,Komentarz586,Grupa 1,Dzial 0,Elsie Alvarez,000011/000077/000136/000723
000724,Komentarz558,Grupa 1,Dzial 1,Brett Swanson ,000009/000085/000104/000724
000725,Komentarz743,Grupa 0,Dzial 3,Salvador Reese ,000009/000032/000181/000725
000726,Komentarz599,Grupa 2,Dzial 2,Christina Nguyen,000009/000068/000234/000726
000727,Komentarz475,Grupa 2,Dzial 0,Phil Briggs,000011/000096/000227/000727
000728,Komentarz16,Grupa 2,Dzial 0,Phil Briggs,000009/000047/000288/000728
000729,Komentarz102,Grupa 2,Dzial 3,Corey Mccormick ,000013/000048/000276/000729
000730,Komentarz673,Grupa 2,Dzial 3,Shawn Santos ,000010/000041/000316/000730
000731,Komentarz477,Grupa 2,Dzial 0,Phil Briggs,000018/000071/000286/000731
000732,Komentarz330,Grupa 0,Dzial 2,Irene Sandoval,000010/000041/000214/000732
000733,Komentarz768,Grupa 1,Dzial 1,Ernestine Mathis ,000009/000085/000261/000733
000734,Komentarz541,Grupa 1,Dzial 3,Rex Casey ,000002/000061/000109/000734
000735,Komentarz181,Grupa 2,Dzial 0,Phil Briggs,000010/000041/000121/000735
000736,Komentarz817,Grupa 1,Dzial 0,Elsie Alvarez,000005/000080/000147/000736
000737,Komentarz467,Grupa 1,Dzial 0,Rogelio Tucker,000005/000038/000318/000737
000738,Komentarz256,Grupa 2,Dzial 1,Alan Underwood ,000002/000061/000174/000738
000739,Komentarz375,Grupa 1,Dzial 1,Luther Ramsey ,000018/000086/000180/000739
000740,Komentarz274,Grupa 2,Dzial 1,Alan Underwood ,000021/000052/000141/000740
000741,Komentarz515,Grupa 1,Dzial 0,Rogelio Tucker,000006/000026/000253/000741
000742,Komentarz49,Grupa 0,Dzial 3,Lorraine Cortez ,000006/000026/000105/000742
000743,Komentarz298,Grupa 2,Dzial 3,Corey Mccormick ,000005/000080/000147/000743
000744,Komentarz906,Grupa 1,Dzial 1,Luther Ramsey ,000014/000027/000116/000744
000745,Komentarz997,Grupa 0,Dzial 3,Salvador Reese ,000010/000037/000294/000745
000746,Komentarz570,Grupa 2,Dzial 1,Alan Underwood ,000013/000072/000246/000746
000747,Komentarz346,Grupa 2,Dzial 2,Christina Nguyen,000012/000058/000195/000747
000748,Komentarz895,Grupa 1,Dzial 1,Luther Ramsey ,000010/000041/000197/000748
000749,Komentarz551,Grupa 1,Dzial 3,Rex Casey ,000024/000042/000263/000749
000750,Komentarz843,Grupa 0,Dzial 3,Lorraine Cortez ,000009/000047/000165/000750
000751,Komentarz555,Grupa 0,Dzial 3,Dennis Kelley ,000012/000074/000149/000751
000752,Komentarz413,Grupa 0,Dzial 3,Lorraine Cortez ,000004/000053/000167/000752
000753,Komentarz773,Grupa 1,Dzial 1,Orlando Delgado,000010/000037/000270/000753
000754,Komentarz271,Grupa 1,Dzial 1,Orlando Delgado,000011/000057/000175/000754
000755,Komentarz11,Grupa 1,Dzial 2,Tanya Bridges ,000006/000039/000112/000755
000756,Komentarz873,Grupa 0,Dzial 2,Jenna Dean,000020/000063/000160/000756
000757,Komentarz469,Grupa 1,Dzial 0,Elsie Alvarez,000019/000065/000251/000757
000758,Komentarz284,Grupa 1,Dzial 3,Rex Casey ,000011/000077/000291/000758
000759,Komentarz936,Grupa 1,Dzial 0,Elsie Alvarez,000022/000094/000153/000759
000760,Komentarz567,Grupa 2,Dzial 0,Phil Briggs,000020/000063/000228/000760
000761,Komentarz363,Grupa 2,Dzial 2,Guy Moran ,000010/000075/000323/000761
000762,Komentarz654,Grupa 0,Dzial 2,Irene Sandoval,000018/000071/000238/000762
000763,Komentarz21,Grupa 1,Dzial 1,Elizabeth Conner,000008/000029/000179/000763
000764,Komentarz759,Grupa 1,Dzial 0,Elsie Alvarez,000002/000084/000212/000764
000765,Komentarz117,Grupa 1,Dzial 0,Elsie Alvarez,000019/000065/000192/000765
000766,Komentarz139,Grupa 0,Dzial 1,Frederick Mclaughlin,000012/000046/000131/000766
000767,Komentarz984,Grupa 1,Dzial 1,Angelica Hale,000008/000062/000240/000767
000768,Komentarz11,Grupa 1,Dzial 1,Brett Swanson ,000023/000078/000142/000768
000769,Komentarz430,Grupa 0,Dzial 2,Nora Roberts,000019/000035/000306/000769
000770,Komentarz728,Grupa 1,Dzial 1,Elizabeth Conner,000010/000075/000296/000770
000771,Komentarz278,Grupa 0,Dzial 2,Nora Roberts,000021/000052/000170/000771
000772,Komentarz281,Grupa 0,Dzial 2,Al Welch ,000005/000080/000120/000772
000773,Komentarz134,Grupa 1,Dzial 1,Orlando Delgado,000014/000060/000201/000773
000774,Komentarz817,Grupa 2,Dzial 3,Corey Mccormick ,000013/000098/000150/000774
000775,Komentarz499,Grupa 0,Dzial 2,Cora Moody ,000010/000041/000121/000775
000776,Komentarz791,Grupa 1,Dzial 1,Luther Ramsey ,000015/000088/000219/000776
000777,Komentarz591,Grupa 1,Dzial 3,Izydor Patryk,000010/000075/000311/000777
000778,Komentarz300,Grupa 2,Dzial 2,Guy Moran ,000004/000053/000106/000778
000779,Komentarz942,Grupa 0,Dzial 3,Janie Grant,000024/000042/000263/000779
000780,Komentarz808,Grupa 0,Dzial 3,Dennis Kelley ,000020/000087/000224/000780
000781,Komentarz184,Grupa 0,Dzial 2,Jenna Dean,000011/000077/000247/000781
000782,Komentarz134,Grupa 1,Dzial 2,Tanya Bridges ,000011/000054/000151/000782
000783,Komentarz539,Grupa 1,Dzial 1,Ernestine Mathis ,000010/000041/000197/000783
000784,Komentarz827,Grupa 0,Dzial 2,Cora Moody ,000013/000098/000150/000784
000785,Komentarz790,Grupa 2,Dzial 3,Corey Mccormick ,000009/000032/000181/000785
000786,Komentarz659,Grupa 0,Dzial 1,Frederick Mclaughlin,000019/000076/000135/000786
000787,Komentarz502,Grupa 0,Dzial 2,Al Welch ,000019/000083/000245/000787
000788,Komentarz348,Grupa 2,Dzial 3,Shawn Santos ,000019/000082/000305/000788
000789,Komentarz956,Grupa 2,Dzial 1,Alan Underwood ,000013/000098/000150/000789
000790,Komentarz545,Grupa 2,Dzial 1,Marta Clarke,000019/000082/000285/000790
000791,Komentarz181,Grupa 2,Dzial 2,Guy Moran ,000002/000061/000109/000791
000792,Komentarz752,Grupa 2,Dzial 0,Phil Briggs,000005/000038/000318/000792
000793,Komentarz690,Grupa 1,Dzial 1,Brett Swanson ,000004/000036/000309/000793
000794,Komentarz965,Grupa 0,Dzial 2,Al Welch ,000009/000068/000234/000794
000795,Komentarz934,Grupa 1,Dzial 1,Brett Swanson ,000023/000078/000142/000795
000796,Komentarz317,Grupa 1,Dzial 1,Angelica Hale,000014/000060/000101/000796
000797,Komentarz394,Grupa 0,Dzial 2,Al Welch ,000021/000079/000259/000797
000798,Komentarz147,Grupa 2,Dzial 2,Guy Moran ,000011/000096/000227/000798
000799,Komentarz836,Grupa 1,Dzial 1,Angelica Hale,000019/000065/000251/000799
000800,Komentarz998,Grupa 0,Dzial 3,Paulette Mcdaniel ,000012/000058/000265/000800
000801,Komentarz283,Grupa 0,Dzial 2,Bernard Ellis ,000019/000035/000182/000801
000802,Komentarz17,Grupa 2,Dzial 0,Cecelia Joseph,000004/000053/000106/000802
000803,Komentarz469,Grupa 2,Dzial 0,Phil Briggs,000025/000059/000123/000803
000804,Komentarz537,Grupa 0,Dzial 2,Allen Thompson,000014/000073/000223/000804
000805,Komentarz465,Grupa 2,Dzial 1,Marta Clarke,000021/000079/000184/000805
000806,Komentarz443,Grupa 2,Dzial 1,Roy Weaver ,000004/000053/000198/000806
000807,Komentarz94,Grupa 0,Dzial 3,Naomi Shelton,000013/000098/000278/000807
000808,Komentarz244,Grupa 0,Dzial 3,Janie Grant,
000809,Komentarz50,Grupa 0,Dzial 2,Cora Moody ,000025/000059/000123/000809
000810,Komentarz255,Grupa 1,Dzial 3,Rex Casey ,000002/000064/000209/000810
000811,Komentarz899,Grupa 1,Dzial 3,Rex Casey ,000006/000026/000290/000811
000812,Komentarz707,Grupa 2,Dzial 2,Guy Moran ,000010/000075/000117/000812
000813,Komentarz698,Grupa 2,Dzial 2,Christina Nguyen,000011/000057/000122/000813
000814,Komentarz114,Grupa 0,Dzial 3,Dennis Kelley ,000008/000029/000113/000814
000815,Komentarz411,Grupa 0,Dzial 2,Noah Barnes ,000020/000087/000207/000815
000816,Komentarz507,Grupa 2,Dzial 1,Alan Underwood ,000004/000053/000256/000816
000817,Komentarz263,Grupa 0,Dzial 3,Jose Gilbert ,000009/000047/000288/000817
000818,Komentarz296,Grupa 0,Dzial 2,Cora Moody ,000009/000085/000115/000818
000819,Komentarz274,Grupa 1,Dzial 1,Angelica Hale,000020/000063/000146/000819
000820,Komentarz929,Grupa 0,Dzial 2,Irene Sandoval,000016/000100/000242/000820
000821,Komentarz341,Grupa 2,Dzial 2,Alberto Allison ,000009/000085/000124/000821
000822,Komentarz175,Grupa 2,Dzial 0,Phil Briggs,000025/000040/000268/000822
000823,Komentarz196,Grupa 2,Dzial 3,Corey Mccormick ,000004/000031/000155/000823
000824,Komentarz978,Grupa 1,Dzial 1,Brett Swanson ,000016/000100/000242/000824
000825,Komentarz449,Grupa 2,Dzial 2,Guy Moran ,000006/000039/000112/000825
000826,Komentarz396,Grupa 2,Dzial 3,Corey Mccormick ,000019/000065/000192/000826
000827,Komentarz432,Grupa 2,Dzial 1,Marta Clarke,000010/000092/000319/000827
000828,Komentarz484,Grupa 0,Dzial 2,Bernard Ellis ,000008/000029/000281/000828
000829,Komentarz969,Grupa 0,Dzial 2,Irene Sandoval,000014/000027/000116/000829
000830,Komentarz355,Grupa 0,Dzial 2,Bernard Ellis ,000014/000060/000201/000830
000831,Komentarz185,Grupa 2,Dzial 1,Alan Underwood ,000017/000093/000297/000831
000832,Komentarz722,Grupa 0,Dzial 2,Bernard Ellis ,000009/000047/000137/000832
000833,Komentarz161,Grupa 2,Dzial 2,Guy Moran ,000004/000031/000274/000833
000834,Komentarz450,Grupa 2,Dzial 3,Shawn Santos ,000004/000053/000106/000834
000835,Komentarz701,Grupa 0,Dzial 3,Paulette Mcdaniel ,000019/000083/000245/000835
000836,Komentarz755,Grupa 0,Dzial 3,Lorraine Cortez ,000010/000092/000319/000836
000837,Komentarz878,Grupa 0,Dzial 2,Noah Barnes ,000004/000053/000140/000837
000838,Komentarz486,Grupa 2,Dzial 1,Alan Underwood ,000019/000083/000221/000838
000839,Komentarz601,Grupa 2,Dzial 0,Phil Briggs,000011/000077/000291/000839
000840,Komentarz979,Grupa 1,Dzial 1,Angelica Hale,000010/000075/000117/000840
000841,Komentarz742,Grupa 2,Dzial 0,Cecelia Joseph,000021/000052/000141/000841
000842,Komentarz227,Grupa 2,Dzial 3,Corey Mccormick ,000014/000073/000300/000842
000843,Komentarz202,Grupa 1,Dzial 2,Tanya Bridges ,000024/000042/000254/000843
000844,Komentarz302,Grupa 1,Dzial 1,Luther Ramsey ,000001/000033/000111/000844
000845,Komentarz925,Grupa 1,Dzial 2,Tanya Bridges ,000009/000068/000277/000845
000846,Komentarz575,Grupa 2,Dzial 0,Phil Briggs,000025/000040/000164/000846
000847,Komentarz693,Grupa 2,Dzial 3,Corey Mccormick ,000002/000050/000324/000847
000848,Komentarz628,Grupa 1,Dzial 0,Elsie Alvarez,000012/000058/000271/000848
000849,Komentarz561,Grupa 0,Dzial 2,Jenna Dean,000009/000032/000181/000849
000850,Komentarz975,Grupa 0,Dzial 2,Cora Moody ,000009/000068/000148/000850
000851,Komentarz846,Grupa 2,Dzial 0,Cecelia Joseph,000009/000047/000165/000851
000852,Komentarz559,Grupa 0,Dzial 3,Salvador Reese ,000020/000087/000207/000852
000853,Komentarz990,Grupa 2,Dzial 1,Ramiro Thompson,000013/000048/000276/000853
000854,Komentarz503,Grupa 2,Dzial 1,Diana Pierce ,000018/000071/000128/000854
000855,Komentarz500,Grupa 2,Dzial 1,Roy Weaver ,000002/000084/000212/000855
000856,Komentarz189,Grupa 0,Dzial 3,Janie Grant,000013/000098/000176/000856
000857,Komentarz241,Grupa 1,Dzial 3,Rex Casey ,000005/000080/000120/000857
000858,Komentarz509,Grupa 2,Dzial 3,Corey Mccormick ,000019/000083/000245/000858
000859,Komentarz35,Grupa 1,Dzial 1,Ernestine Mathis ,000020/000044/000159/000859
000860,Komentarz668,Grupa 2,Dzial 3,Corey Mccormick ,000025/000040/000292/000860
000861,Komentarz208,Grupa 1,Dzial 2,Tanya Bridges ,000009/000032/000293/000861
000862,Komentarz325,Grupa 1,Dzial 0,Alison Lyons,000022/000081/000249/000862
000863,Komentarz319,Grupa 1,Dzial 3,Izydor Patryk,000009/000085/000215/000863
000864,Komentarz591,Grupa 1,Dzial 1,Angelica Hale,000019/000083/000221/000864
000865,Komentarz431,Grupa 2,Dzial 0,Phil Briggs,000022/000094/000153/000865
000866,Komentarz821,Grupa 1,Dzial 0,Elsie Alvarez,000021/000079/000184/000866
000867,Komentarz958,Grupa 2,Dzial 1,Diana Pierce ,000019/000082/000289/000867
000868,Komentarz341,Grupa 1,Dzial 1,Elizabeth Conner,000011/000090/000171/000868
000869,Komentarz740,Grupa 0,Dzial 2,Noah Barnes ,000011/000090/000171/000869
000870,Komentarz738,Grupa 2,Dzial 1,Alan Underwood ,000006/000026/000105/000870
000871,Komentarz237,Grupa 2,Dzial 2,Guy Moran ,000004/000053/000304/000871
000872,Komentarz402,Grupa 0,Dzial 3,Naomi Shelton,000015/000088/000219/000872
000873,Komentarz803,Grupa 1,Dzial 0,Elsie Alvarez,000019/000082/000305/000873
000874,Komentarz544,Grupa 2,Dzial 0,Cecelia Joseph,000022/000094/000206/000874
000875,Komentarz601,Grupa 0,Dzial 3,Jose Gilbert ,000015/000088/000219/000875
000876,Komentarz3,Grupa 2,Dzial 0,Cecelia Joseph,000025/000040/000280/000876
000877,Komentarz537,Grupa 2,Dzial 1,Alan Underwood ,000011/000028/000283/000877
000878,Komentarz77,Grupa 2,Dzial 1,Roy Weaver ,000012/000046/000131/000878
000879,Komentarz367,Grupa 0,Dzial 2,Jenna Dean,000009/000047/000303/000879
000880,Komentarz365,Grupa 1,Dzial 1,Elizabeth Conner,000025/000051/000267/000880
000881,Komentarz820,Grupa 2,Dzial 2,Christina Nguyen,000012/000074/000312/000881
000882,Komentarz254,Grupa 2,Dzial 2,Guy Moran ,000014/000073/000284/000882
000883,Komentarz436,Grupa 2,Dzial 2,Alberto Allison ,000014/000095/000220/000883
000884,Komentarz413,Grupa 0,Dzial 2,Bernard Ellis ,000012/000058/000271/000884
000885,Komentarz40,Grupa 2,Dzial 1,Ramiro Thompson,000013/000048/000178/000885
000886,Komentarz319,Grupa 2,Dzial 1,Alan Underwood ,000023/000078/000142/000886
000887,Komentarz309,Grupa 2,Dzial 1,Ramiro Thompson,000019/000065/000258/000887
000888,Komentarz561,Grupa 2,Dzial 2,Christina Nguyen,000010/000092/000190/000888
000889,Komentarz203,Grupa 2,Dzial 0,Cecelia Joseph,000020/000044/000295/000889
000890,Komentarz94,Grupa 2,Dzial 3,Corey Mccormick ,000014/000060/000201/000890
000891,Komentarz726,Grupa 2,Dzial 3,Shawn Santos ,000012/000058/000193/000891
000892,Komentarz813,Grupa 2,Dzial 0,Cecelia Joseph,000011/000096/000227/000892
000893,Komentarz249,Grupa 2,Dzial 2,Christina Nguyen,000020/000044/000159/000893
000894,Komentarz383,Grupa 0,Dzial 2,Nora Roberts,000018/000071/000199/000894
000895,Komentarz222,Grupa 0,Dzial 2,Nora Roberts,000011/000077/000291/000895
000896,Komentarz549,Grupa 2,Dzial 3,Corey Mccormick ,000006/000026/000138/000896
000897,Komentarz463,Grupa 1,Dzial 1,Orlando Delgado,000006/000026/000290/000897
000898,Komentarz689,Grupa 2,Dzial 3,Corey Mccormick ,000011/000096/000310/000898
000899,Komentarz760,Grupa 0,Dzial 2,Al Welch ,000019/000035/000257/000899
000900,Komentarz8,Grupa 0,Dzial 2,Bernard Ellis ,000008/000029/000241/000900
000901,Komentarz187,Grupa 0,Dzial 3,Naomi Shelton,000013/000066/000157/000901
000902,Komentarz527,Grupa 2,Dzial 1,Marta Clarke,000005/000038/000272/000902
000903,Komentarz523,Grupa 0,Dzial 2,Bernard Ellis ,000005/000080/000236/000903
000904,Komentarz226,Grupa 0,Dzial 3,Lorraine Cortez ,000023/000078/000255/000904
000905,Komentarz833,Grupa 1,Dzial 1,Ernestine Mathis ,000025/000059/000123/000905
000906,Komentarz766,Grupa 1,Dzial 1,Luther Ramsey ,000021/000079/000184/000906
000907,Komentarz850,Grupa 1,Dzial 1,Elizabeth Conner,000009/000085/000103/000907
000908,Komentarz752,Grupa 1,Dzial 2,Tanya Bridges ,000025/000051/000183/000908
000909,Komentarz366,Grupa 0,Dzial 2,Nora Roberts,000019/000035/000182/000909
000910,Komentarz180,Grupa 2,Dzial 3,Shawn Santos ,000011/000054/000127/000910
000911,Komentarz419,Grupa 2,Dzial 1,Roy Weaver ,000019/000082/000289/000911
000912,Komentarz896,Grupa 1,Dzial 1,Ernestine Mathis ,000006/000039/000112/000912
000913,Komentarz408,Grupa 0,Dzial 3,Paulette Mcdaniel ,000018/000071/000128/000913
000914,Komentarz926,Grupa 0,Dzial 2,Irene Sandoval,000011/000077/000188/000914
000915,Komentarz563,Grupa 0,Dzial 2,Jenna Dean,000009/000068/000148/000915
000916,Komentarz437,Grupa 2,Dzial 2,Guy Moran ,000004/000053/000304/000916
000917,Komentarz91,Grupa 2,Dzial 1,Marta Clarke,000018/000071/000238/000917
000918,Komentarz952,Grupa 2,Dzial 1,Marta Clarke,000010/000075/000117/000918
000919,Komentarz375,Grupa 2,Dzial 1,Diana Pierce ,000010/000041/000214/000919
000920,Komentarz806,Grupa 1,Dzial 1,Elizabeth Conner,000009/000085/000215/000920
000921,Komentarz469,Grupa 1,Dzial 1,Orlando Delgado,000020/000087/000207/000921
000922,Komentarz248,Grupa 1,Dzial 1,Elizabeth Conner,000024/000042/000254/000922
000923,Komentarz27,Grupa 1,Dzial 3,Rex Casey ,000018/000071/000238/000923
000924,Komentarz95,Grupa 1,Dzial 1,Luther Ramsey ,000019/000082/000158/000924
000925,Komentarz458,Grupa 0,Dzial 2,Cora Moody ,000025/000051/000183/000925
000926,Komentarz555,Grupa 0,Dzial 2,Irene Sandoval,000009/000067/000162/000926
000927,Komentarz878,Grupa 0,Dzial 3,Dennis Kelley ,000022/000081/000139/000927
000928,Komentarz540,Grupa 0,Dzial 1,Frederick Mclaughlin,000018/000097/000205/000928
000929,Komentarz624,Grupa 0,Dzial 2,Irene Sandoval,000012/000058/000195/000929
000930,Komentarz381,Grupa 1,Dzial 1,Luther Ramsey ,000013/000072/000229/000930
000931,Komentarz92,Grupa 1,Dzial 1,Brett Swanson ,000010/000041/000130/000931
000932,Komentarz164,Grupa 0,Dzial 3,Lorraine Cortez ,000004/000053/000172/000932
000933,Komentarz818,Grupa 1,Dzial 1,Luther Ramsey ,000019/000035/000118/000933
000934,Komentarz644,Grupa 0,Dzial 3,Naomi Shelton,000008/000062/000240/000934
000935,Komentarz209,Grupa 0,Dzial 2,Nora Roberts,000012/000046/000210/000935
000936,Komentarz860,Grupa 0,Dzial 3,Paulette Mcdaniel ,000015/000088/000235/000936
000937,Komentarz736,Grupa 0,Dzial 3,Dennis Kelley ,000012/000046/000210/000937
000938,Komentarz917,Grupa 0,Dzial 3,Lorraine Cortez ,000014/000073/000284/000938
000939,Komentarz931,Grupa 0,Dzial 2,Irene Sandoval,000005/000030/000110/000939
000940,Komentarz495,Grupa 0,Dzial 3,Jose Gilbert ,000014/000060/000201/000940
000941,Komentarz548,Grupa 2,Dzial 3,Corey Mccormick ,000008/000029/000281/000941
000942,Komentarz212,Grupa 0,Dzial 2,Al Welch ,000018/000071/000203/000942
000943,Komentarz367,Grupa 0,Dzial 2,Bernard Ellis ,000014/000073/000260/000943
000944,Komentarz931,Grupa 2,Dzial 1,Ramiro Thompson,000009/000085/000103/000944
000945,Komentarz925,Grupa 2,Dzial 2,Christina Nguyen,000013/000066/000163/000945
000946,Komentarz87,Grupa 1,Dzial 0,Elsie Alvarez,000013/000098/000278/000946
000947,Komentarz211,Grupa 1,Dzial 0,Alison Lyons,000005/000038/000318/000947
000948,Komentarz38,Grupa 2,Dzial 1,Ramiro Thompson,000020/000044/000295/000948
000949,Komentarz280,Grupa 1,Dzial 3,Rex Casey ,000011/000054/000314/000949
000950,Komentarz195,Grupa 1,Dzial 0,Alison Lyons,000009/000085/000103/000950
000951,Komentarz218,Grupa 2,Dzial 1,Alan Underwood ,000011/000028/000283/000951
000952,Komentarz564,Grupa 1,Dzial 3,Izydor Patryk,000013/000048/000178/000952
000953,Komentarz641,Grupa 0,Dzial 2,Al Welch ,000021/000079/000184/000953
000954,Komentarz996,Grupa 2,Dzial 1,Diana Pierce ,000009/000068/000148/000954
000955,Komentarz153,Grupa 0,Dzial 2,Irene Sandoval,000020/000044/000295/000955
