Numer;Komentarz;Grupa;Dzial;Osoba;Sciezka
717;Komentarz663;Grupa 2;Dzial 3;Corey Mccormick ;18/71/128/717
718;Komentarz913;Grupa 0;Dzial 3;Naomi Shelton;15/88/186/718
719;Komentarz476;Grupa 2;Dzial 3;Shawn Santos ;11/96/310/719
720;Komentarz319;Grupa 2;Dzial 2;Alberto Allison ;13/66/152/720
721;Komentarz846;Grupa 1;Dzial 1;Elizabeth Conner;2/50/307/721
722;Komentarz36;Grupa 0;Dzial 3;Salvador Reese ;14/60/185/722
723;Komentarz586;Grupa 1;Dzial 0;Elsie Alvarez;11/77/136/723
724;Komentarz558;Grupa 1;Dzial 1;Brett Swanson ;9/85/104/724
725;Komentarz743;Grupa 0;Dzial 3;Salvador Reese ;9/32/181/725
726;Komentarz599;Grupa 2;Dzial 2;Christina Nguyen;9/68/234/726
727;Komentarz475;Grupa 2;Dzial 0;Phil Briggs;11/96/227/727
728;Komentarz16;Grupa 2;Dzial 0;Phil Briggs;9/47/288/728
729;Komentarz102;Grupa 2;Dzial 3;Corey Mccormick ;13/48/276/729
730;Komentarz673;Grupa 2;Dzial 3;Shawn Santos ;10/41/316/730
731;Komentarz477;Grupa 2;Dzial 0;Phil Briggs;18/71/286/731
732;Komentarz330;Grupa 0;Dzial 2;Irene Sandoval;10/41/214/732
733;Komentarz768;Grupa 1;Dzial 1;Ernestine Mathis ;9/85/261/733
734;Komentarz541;Grupa 1;Dzial 3;Rex Casey ;2/61/109/734
735;Komentarz181;Grupa 2;Dzial 0;Phil Briggs;10/41/121/735
736;Komentarz817;Grupa 1;Dzial 0;Elsie Alvarez;5/80/147/736
737;Komentarz467;Grupa 1;Dzial 0;Rogelio Tucker;5/38/318/737
738;Komentarz256;Grupa 2;Dzial 1;Alan Underwood ;2/61/174/738
739;Komentarz375;Grupa 1;Dzial 1;Luther Ramsey ;18/86/180/739
740;Komentarz274;Grupa 2;Dzial 1;Alan Underwood ;21/52/141/740
741;Komentarz515;Grupa 1;Dzial 0;Rogelio Tucker;6/26/253/741
742;Komentarz49;Grupa 0;Dzial 3;Lorraine Cortez ;6/26/105/742
743;Komentarz298;Grupa 2;Dzial 3;Corey Mccormick ;5/80/147/743
744;Komentarz906;Grupa 1;Dzial 1;Luther Ramsey ;14/27/116/744
745;Komentarz997;Grupa 0;Dzial 3;Salvador Reese ;10/37/294/745
746;Komentarz570;Grupa 2;Dzial 1;Alan Underwood ;13/72/246/746
747;Komentarz346;Grupa 2;Dzial 2;Christina Nguyen;12/58/195/747
748;Komentarz895;Grupa 1;Dzial 1;Luther Ramsey ;10/41/197/748
749;Komentarz551;Grupa 1;Dzial 3;Rex Casey ;24/42/263/749
750;Komentarz843;Grupa 0;Dzial 3;Lorraine Cortez ;9/47/165/750
751;Komentarz555;Grupa 0;Dzial 3;Dennis Kelley ;12/74/149/751
752;Komentarz413;Grupa 0;Dzial 3;Lorraine Cortez ;4/53/167/752
753;Komentarz773;Grupa 1;Dzial 1;Orlando Delgado;10/37/270/753
754;Komentarz271;Grupa 1;Dzial 1;Orlando Delgado;11/57/175/754
755;Komentarz11;Grupa 1;Dzial 2;Tanya Bridges ;6/39/112/755
756;Komentarz873;Grupa 0;Dzial 2;Jenna Dean;20/63/160/756
757;Komentarz469;Grupa 1;Dzial 0;Elsie Alvarez;19/65/251/757
758;Komentarz284;Grupa 1;Dzial 3;Rex Casey ;11/77/291/758
759;Komentarz936;Grupa 1;Dzial 0;Elsie Alvarez;22/94/153/759
760;Komentarz567;Grupa 2;Dzial 0;Phil Briggs;20/63/228/760
761;Komentarz363;Grupa 2;Dzial 2;Guy Moran ;10/75/323/761
762;Komentarz654;Grupa 0;Dzial 2;Irene Sandoval;18/71/238/762
763;Komentarz21;Grupa 1;Dzial 1;Elizabeth Conner;8/29/179/763
764;Komentarz759;Grupa 1;Dzial 0;Elsie Alvarez;2/84/212/764
765;Komentarz117;Grupa 1;Dzial 0;Elsie Alvarez;19/65/192/765
766;Komentarz139;Grupa 0;Dzial 1;Frederick Mclaughlin;12/46/131/766
767;Komentarz984;Grupa 1;Dzial 1;Angelica Hale;8/62/240/767
768;Komentarz11;Grupa 1;Dzial 1;Brett Swanson ;23/78/142/768
769;Komentarz430;Grupa 0;Dzial 2;Nora Roberts;19/35/306/769
770;Komentarz728;Grupa 1;Dzial 1;Elizabeth Conner;10/75/296/770
771;Komentarz278;Grupa 0;Dzial 2;Nora Roberts;21/52/170/771
772;Komentarz281;Grupa 0;Dzial 2;Al Welch ;5/80/120/772
773;Komentarz134;Grupa 1;Dzial 1;Orlando Delgado;14/60/201/773
774;Komentarz817;Grupa 2;Dzial 3;Corey Mccormick ;13/98/150/774
775;Komentarz499;Grupa 0;Dzial 2;Cora Moody ;10/41/121/775
776;Komentarz791;Grupa 1;Dzial 1;Luther Ramsey ;15/88/219/776
777;Komentarz591;Grupa 1;Dzial 3;Izydor Patryk;10/75/311/777
778;Komentarz300;Grupa 2;Dzial 2;Guy Moran ;4/53/106/778
779;Komentarz942;Grupa 0;Dzial 3;Janie Grant;24/42/263/779
780;Komentarz808;Grupa 0;Dzial 3;Dennis Kelley ;20/87/224/780
781;Komentarz184;Grupa 0;Dzial 2;Jenna Dean;11/77/247/781
782;Komentarz134;Grupa 1;Dzial 2;Tanya Bridges ;11/54/151/782
783;Komentarz539;Grupa 1;Dzial 1;Ernestine Mathis ;10/41/197/783
784;Komentarz827;Grupa 0;Dzial 2;Cora Moody ;13/98/150/784
785;Komentarz790;Grupa 2;Dzial 3;Corey Mccormick ;9/32/181/785
786;Komentarz659;Grupa 0;Dzial 1;Frederick Mclaughlin;19/76/135/786
787;Komentarz502;Grupa 0;Dzial 2;Al Welch ;19/83/245/787
788;Komentarz348;Grupa 2;Dzial 3;Shawn Santos ;19/82/305/788
789;Komentarz956;Grupa 2;Dzial 1;Alan Underwood ;13/98/150/789
790;Komentarz545;Grupa 2;Dzial 1;Marta Clarke;19/82/285/790
791;Komentarz181;Grupa 2;Dzial 2;Guy Moran ;2/61/109/791
792;Komentarz752;Grupa 2;Dzial 0;Phil Briggs;5/38/318/792
793;Komentarz690;Grupa 1;Dzial 1;Brett Swanson ;4/36/309/793
794;Komentarz965;Grupa 0;Dzial 2;Al Welch ;9/68/234/794
795;Komentarz934;Grupa 1;Dzial 1;Brett Swanson ;23/78/142/795
796;Komentarz317;Grupa 1;Dzial 1;Angelica Hale;14/60/101/796
797;Komentarz394;Grupa 0;Dzial 2;Al Welch ;21/79/259/797
798;Komentarz147;Grupa 2;Dzial 2;Guy Moran ;11/96/227/798
799;Komentarz836;Grupa 1;Dzial 1;Angelica Hale;19/65/251/799
800;Komentarz998;Grupa 0;Dzial 3;Paulette Mcdaniel ;12/58/265/800
801;Komentarz283;Grupa 0;Dzial 2;Bernard Ellis ;19/35/182/801
802;Komentarz17;Grupa 2;Dzial 0;Cecelia Joseph;4/53/106/802
803;Komentarz469;Grupa 2;Dzial 0;Phil Briggs;25/59/123/803
804;Komentarz537;Grupa 0;Dzial 2;Allen Thompson;14/73/223/804
805;Komentarz465;Grupa 2;Dzial 1;Marta Clarke;21/79/184/805
806;Komentarz443;Grupa 2;Dzial 1;Roy Weaver ;4/53/198/806
807;Komentarz94;Grupa 0;Dzial 3;Naomi Shelton;13/98/278/807
808;Komentarz244;Grupa 0;Dzial 3;Janie Grant;851968/16/100/808
809;Komentarz50;Grupa 0;Dzial 2;Cora Moody ;25/59/123/809
810;Komentarz255;Grupa 1;Dzial 3;Rex Casey ;2/64/209/810
811;Komentarz899;Grupa 1;Dzial 3;Rex Casey ;6/26/290/811
812;Komentarz707;Grupa 2;Dzial 2;Guy Moran ;10/75/117/812
813;Komentarz698;Grupa 2;Dzial 2;Christina Nguyen;11/57/122/813
814;Komentarz114;Grupa 0;Dzial 3;Dennis Kelley ;8/29/113/814
815;Komentarz411;Grupa 0;Dzial 2;Noah Barnes ;20/87/207/815
816;Komentarz507;Grupa 2;Dzial 1;Alan Underwood ;4/53/256/816
817;Komentarz263;Grupa 0;Dzial 3;Jose Gilbert ;9/47/288/817
818;Komentarz296;Grupa 0;Dzial 2;Cora Moody ;9/85/115/818
819;Komentarz274;Grupa 1;Dzial 1;Angelica Hale;20/63/146/819
820;Komentarz929;Grupa 0;Dzial 2;Irene Sandoval;16/100/242/820
821;Komentarz341;Grupa 2;Dzial 2;Alberto Allison ;9/85/124/821
822;Komentarz175;Grupa 2;Dzial 0;Phil Briggs;25/40/268/822
823;Komentarz196;Grupa 2;Dzial 3;Corey Mccormick ;4/31/155/823
824;Komentarz978;Grupa 1;Dzial 1;Brett Swanson ;16/100/242/824
825;Komentarz449;Grupa 2;Dzial 2;Guy Moran ;6/39/112/825
826;Komentarz396;Grupa 2;Dzial 3;Corey Mccormick ;19/65/192/826
827;Komentarz432;Grupa 2;Dzial 1;Marta Clarke;10/92/319/827
828;Komentarz484;Grupa 0;Dzial 2;Bernard Ellis ;8/29/281/828
829;Komentarz969;Grupa 0;Dzial 2;Irene Sandoval;14/27/116/829
830;Komentarz355;Grupa 0;Dzial 2;Bernard Ellis ;14/60/201/830
831;Komentarz185;Grupa 2;Dzial 1;Alan Underwood ;17/93/297/831
832;Komentarz722;Grupa 0;Dzial 2;Bernard Ellis ;9/47/137/832
833;Komentarz161;Grupa 2;Dzial 2;Guy Moran ;4/31/274/833
834;Komentarz450;Grupa 2;Dzial 3;Shawn Santos ;4/53/106/834
835;Komentarz701;Grupa 0;Dzial 3;Paulette Mcdaniel ;19/83/245/835
836;Komentarz755;Grupa 0;Dzial 3;Lorraine Cortez ;10/92/319/836
837;Komentarz878;Grupa 0;Dzial 2;Noah Barnes ;4/53/140/837
838;Komentarz486;Grupa 2;Dzial 1;Alan Underwood ;19/83/221/838
839;Komentarz601;Grupa 2;Dzial 0;Phil Briggs;11/77/291/839
840;Komentarz979;Grupa 1;Dzial 1;Angelica Hale;10/75/117/840
841;Komentarz742;Grupa 2;Dzial 0;Cecelia Joseph;21/52/141/841
842;Komentarz227;Grupa 2;Dzial 3;Corey Mccormick ;14/73/300/842
843;Komentarz202;Grupa 1;Dzial 2;Tanya Bridges ;24/42/254/843
844;Komentarz302;Grupa 1;Dzial 1;Luther Ramsey ;1/33/111/844
845;Komentarz925;Grupa 1;Dzial 2;Tanya Bridges ;9/68/277/845
846;Komentarz575;Grupa 2;Dzial 0;Phil Briggs;25/40/164/846
847;Komentarz693;Grupa 2;Dzial 3;Corey Mccormick ;2/50/324/847
848;Komentarz628;Grupa 1;Dzial 0;Elsie Alvarez;12/58/271/848
849;Komentarz561;Grupa 0;Dzial 2;Jenna Dean;9/32/181/849
850;Komentarz975;Grupa 0;Dzial 2;Cora Moody ;9/68/148/850
851;Komentarz846;Grupa 2;Dzial 0;Cecelia Joseph;9/47/165/851
852;Komentarz559;Grupa 0;Dzial 3;Salvador Reese ;20/87/207/852
853;Komentarz990;Grupa 2;Dzial 1;Ramiro Thompson;13/48/276/853
854;Komentarz503;Grupa 2;Dzial 1;Diana Pierce ;18/71/128/854
855;Komentarz500;Grupa 2;Dzial 1;Roy Weaver ;2/84/212/855
856;Komentarz189;Grupa 0;Dzial 3;Janie Grant;13/98/176/856
857;Komentarz241;Grupa 1;Dzial 3;Rex Casey ;5/80/120/857
858;Komentarz509;Grupa 2;Dzial 3;Corey Mccormick ;19/83/245/858
859;Komentarz35;Grupa 1;Dzial 1;Ernestine Mathis ;20/44/159/859
860;Komentarz668;Grupa 2;Dzial 3;Corey Mccormick ;25/40/292/860
861;Komentarz208;Grupa 1;Dzial 2;Tanya Bridges ;9/32/293/861
862;Komentarz325;Grupa 1;Dzial 0;Alison Lyons;22/81/249/862
863;Komentarz319;Grupa 1;Dzial 3;Izydor Patryk;9/85/215/863
864;Komentarz591;Grupa 1;Dzial 1;Angelica Hale;19/83/221/864
865;Komentarz431;Grupa 2;Dzial 0;Phil Briggs;22/94/153/865
866;Komentarz821;Grupa 1;Dzial 0;Elsie Alvarez;21/79/184/866
867;Komentarz958;Grupa 2;Dzial 1;Diana Pierce ;19/82/289/867
868;Komentarz341;Grupa 1;Dzial 1;Elizabeth Conner;11/90/171/868
869;Komentarz740;Grupa 0;Dzial 2;Noah Barnes ;11/90/171/869
870;Komentarz738;Grupa 2;Dzial 1;Alan Underwood ;6/26/105/870
871;Komentarz237;Grupa 2;Dzial 2;Guy Moran ;4/53/304/871
872;Komentarz402;Grupa 0;Dzial 3;Naomi Shelton;15/88/219/872
873;Komentarz803;Grupa 1;Dzial 0;Elsie Alvarez;19/82/305/873
874;Komentarz544;Grupa 2;Dzial 0;Cecelia Joseph;22/94/206/874
875;Komentarz601;Grupa 0;Dzial 3;Jose Gilbert ;15/88/219/875
876;Komentarz3;Grupa 2;Dzial 0;Cecelia Joseph;25/40/280/876
877;Komentarz537;Grupa 2;Dzial 1;Alan Underwood ;11/28/283/877
878;Komentarz77;Grupa 2;Dzial 1;Roy Weaver ;12/46/131/878
879;Komentarz367;Grupa 0;Dzial 2;Jenna Dean;9/47/303/879
880;Komentarz365;Grupa 1;Dzial 1;Elizabeth Conner;25/51/267/880
881;Komentarz820;Grupa 2;Dzial 2;Christina Nguyen;12/74/312/881
882;Komentarz254;Grupa 2;Dzial 2;Guy Moran ;14/73/284/882
883;Komentarz436;Grupa 2;Dzial 2;Alberto Allison ;14/95/220/883
884;Komentarz413;Grupa 0;Dzial 2;Bernard Ellis ;12/58/271/884
885;Komentarz40;Grupa 2;Dzial 1;Ramiro Thompson;13/48/178/885
886;Komentarz319;Grupa 2;Dzial 1;Alan Underwood ;23/78/142/886
887;Komentarz309;Grupa 2;Dzial 1;Ramiro Thompson;19/65/258/887
888;Komentarz561;Grupa 2;Dzial 2;Christina Nguyen;10/92/190/888
889;Komentarz203;Grupa 2;Dzial 0;Cecelia Joseph;20/44/295/889
890;Komentarz94;Grupa 2;Dzial 3;Corey Mccormick ;14/60/201/890
891;Komentarz726;Grupa 2;Dzial 3;Shawn Santos ;12/58/193/891
892;Komentarz813;Grupa 2;Dzial 0;Cecelia Joseph;11/96/227/892
893;Komentarz249;Grupa 2;Dzial 2;Christina Nguyen;20/44/159/893
894;Komentarz383;Grupa 0;Dzial 2;Nora Roberts;18/71/199/894
895;Komentarz222;Grupa 0;Dzial 2;Nora Roberts;11/77/291/895
896;Komentarz549;Grupa 2;Dzial 3;Corey Mccormick ;6/26/138/896
897;Komentarz463;Grupa 1;Dzial 1;Orlando Delgado;6/26/290/897
898;Komentarz689;Grupa 2;Dzial 3;Corey Mccormick ;11/96/310/898
899;Komentarz760;Grupa 0;Dzial 2;Al Welch ;19/35/257/899
900;Komentarz8;Grupa 0;Dzial 2;Bernard Ellis ;8/29/241/900
901;Komentarz187;Grupa 0;Dzial 3;Naomi Shelton;13/66/157/901
902;Komentarz527;Grupa 2;Dzial 1;Marta Clarke;5/38/272/902
903;Komentarz523;Grupa 0;Dzial 2;Bernard Ellis ;5/80/236/903
904;Komentarz226;Grupa 0;Dzial 3;Lorraine Cortez ;23/78/255/904
905;Komentarz833;Grupa 1;Dzial 1;Ernestine Mathis ;25/59/123/905
906;Komentarz766;Grupa 1;Dzial 1;Luther Ramsey ;21/79/184/906
907;Komentarz850;Grupa 1;Dzial 1;Elizabeth Conner;9/85/103/907
908;Komentarz752;Grupa 1;Dzial 2;Tanya Bridges ;25/51/183/908
909;Komentarz366;Grupa 0;Dzial 2;Nora Roberts;19/35/182/909
910;Komentarz180;Grupa 2;Dzial 3;Shawn Santos ;11/54/127/910
911;Komentarz419;Grupa 2;Dzial 1;Roy Weaver ;19/82/289/911
912;Komentarz896;Grupa 1;Dzial 1;Ernestine Mathis ;6/39/112/912
913;Komentarz408;Grupa 0;Dzial 3;Paulette Mcdaniel ;18/71/128/913
914;Komentarz926;Grupa 0;Dzial 2;Irene Sandoval;11/77/188/914
915;Komentarz563;Grupa 0;Dzial 2;Jenna Dean;9/68/148/915
916;Komentarz437;Grupa 2;Dzial 2;Guy Moran ;4/53/304/916
917;Komentarz91;Grupa 2;Dzial 1;Marta Clarke;18/71/238/917
918;Komentarz952;Grupa 2;Dzial 1;Marta Clarke;10/75/117/918
919;Komentarz375;Grupa 2;Dzial 1;Diana Pierce ;10/41/214/919
920;Komentarz806;Grupa 1;Dzial 1;Elizabeth Conner;9/85/215/920
921;Komentarz469;Grupa 1;Dzial 1;Orlando Delgado;20/87/207/921
922;Komentarz248;Grupa 1;Dzial 1;Elizabeth Conner;24/42/254/922
923;Komentarz27;Grupa 1;Dzial 3;Rex Casey ;18/71/238/923
924;Komentarz95;Grupa 1;Dzial 1;Luther Ramsey ;19/82/158/924
925;Komentarz458;Grupa 0;Dzial 2;Cora Moody ;25/51/183/925
926;Komentarz555;Grupa 0;Dzial 2;Irene Sandoval;9/67/162/926
927;Komentarz878;Grupa 0;Dzial 3;Dennis Kelley ;22/81/139/927
928;Komentarz540;Grupa 0;Dzial 1;Frederick Mclaughlin;18/97/205/928
929;Komentarz624;Grupa 0;Dzial 2;Irene Sandoval;12/58/195/929
930;Komentarz381;Grupa 1;Dzial 1;Luther Ramsey ;13/72/229/930
931;Komentarz92;Grupa 1;Dzial 1;Brett Swanson ;10/41/130/931
932;Komentarz164;Grupa 0;Dzial 3;Lorraine Cortez ;4/53/172/932
933;Komentarz818;Grupa 1;Dzial 1;Luther Ramsey ;19/35/118/933
934;Komentarz644;Grupa 0;Dzial 3;Naomi Shelton;8/62/240/934
935;Komentarz209;Grupa 0;Dzial 2;Nora Roberts;12/46/210/935
936;Komentarz860;Grupa 0;Dzial 3;Paulette Mcdaniel ;15/88/235/936
937;Komentarz736;Grupa 0;Dzial 3;Dennis Kelley ;12/46/210/937
938;Komentarz917;Grupa 0;Dzial 3;Lorraine Cortez ;14/73/284/938
939;Komentarz931;Grupa 0;Dzial 2;Irene Sandoval;5/30/110/939
940;Komentarz495;Grupa 0;Dzial 3;Jose Gilbert ;14/60/201/940
941;Komentarz548;Grupa 2;Dzial 3;Corey Mccormick ;8/29/281/941
942;Komentarz212;Grupa 0;Dzial 2;Al Welch ;18/71/203/942
943;Komentarz367;Grupa 0;Dzial 2;Bernard Ellis ;14/73/260/943
944;Komentarz931;Grupa 2;Dzial 1;Ramiro Thompson;9/85/103/944
945;Komentarz925;Grupa 2;Dzial 2;Christina Nguyen;13/66/163/945
946;Komentarz87;Grupa 1;Dzial 0;Elsie Alvarez;13/98/278/946
947;Komentarz211;Grupa 1;Dzial 0;Alison Lyons;5/38/318/947
948;Komentarz38;Grupa 2;Dzial 1;Ramiro Thompson;20/44/295/948
949;Komentarz280;Grupa 1;Dzial 3;Rex Casey ;11/54/314/949
950;Komentarz195;Grupa 1;Dzial 0;Alison Lyons;9/85/103/950
951;Komentarz218;Grupa 2;Dzial 1;Alan Underwood ;11/28/283/951
952;Komentarz564;Grupa 1;Dzial 3;Izydor Patryk;13/48/178/952
953;Komentarz641;Grupa 0;Dzial 2;Al Welch ;21/79/184/953
954;Komentarz996;Grupa 2;Dzial 1;Diana Pierce ;9/68/148/954
955;Komentarz153;Grupa 0;Dzial 2;Irene Sandoval;20/44/295/955
956;Komentarz458;Grupa 0;Dzial 2;Bernard Ellis ;11/96/321/956
957;Komentarz205;Grupa 0;Dzial 2;Jenna Dean;13/66/163/957
958;Komentarz936;Grupa 1;Dzial 3;Izydor Patryk;2/61/109/958
959;Komentarz807;Grupa 0;Dzial 2;Cora Moody ;10/37/270/959
960;Komentarz973;Grupa 0;Dzial 3;Lorraine Cortez ;18/71/128/960
961;Komentarz281;Grupa 0;Dzial 3;Janie Grant;19/35/257/961
962;Komentarz691;Grupa 2;Dzial 2;Alberto Allison ;14/73/279/962
963;Komentarz704;Grupa 1;Dzial 1;Ernestine Mathis ;12/58/193/963
964;Komentarz754;Grupa 2;Dzial 2;Christina Nguyen;18/86/180/964
965;Komentarz771;Grupa 2;Dzial 1;Diana Pierce ;10/75/156/965
966;Komentarz651;Grupa 0;Dzial 2;Bernard Ellis ;9/85/124/966
967;Komentarz512;Grupa 2;Dzial 1;Diana Pierce ;25/51/145/967
968;Komentarz246;Grupa 0;Dzial 3;Dennis Kelley ;11/77/313/968
969;Komentarz344;Grupa 1;Dzial 1;Brett Swanson ;14/95/220/969
970;Komentarz93;Grupa 0;Dzial 3;Dennis Kelley ;19/65/252/970
971;Komentarz598;Grupa 2;Dzial 3;Corey Mccormick ;4/53/304/971
972;Komentarz638;Grupa 2;Dzial 1;Ramiro Thompson;9/85/261/972
973;Komentarz683;Grupa 1;Dzial 2;Tanya Bridges ;5/30/315/973
974;Komentarz197;Grupa 2;Dzial 1;Ramiro Thompson;4/53/167/974
975;Komentarz965;Grupa 2;Dzial 3;Corey Mccormick ;14/73/279/975
976;Komentarz648;Grupa 0;Dzial 2;Jenna Dean;19/65/252/976
977;Komentarz276;Grupa 0;Dzial 2;Nora Roberts;9/32/293/977
978;Komentarz761;Grupa 0;Dzial 3;Janie Grant;9/32/218/978
979;Komentarz899;Grupa 0;Dzial 3;Paulette Mcdaniel ;14/73/260/979
980;Komentarz160;Grupa 2;Dzial 1;Marta Clarke;6/39/112/980
981;Komentarz973;Grupa 2;Dzial 2;Alberto Allison ;21/52/141/981
982;Komentarz374;Grupa 2;Dzial 2;Alberto Allison ;10/75/296/982
983;Komentarz53;Grupa 0;Dzial 3;Naomi Shelton;4/53/304/983
984;Komentarz315;Grupa 2;Dzial 1;Roy Weaver ;5/30/173/984
985;Komentarz85;Grupa 0;Dzial 2;Cora Moody ;9/47/165/985
986;Komentarz664;Grupa 1;Dzial 2;Tanya Bridges ;19/82/305/986
987;Komentarz856;Grupa 0;Dzial 3;Paulette Mcdaniel ;14/60/201/987
988;Komentarz78;Grupa 2;Dzial 0;Phil Briggs;12/58/195/988
989;Komentarz856;Grupa 0;Dzial 2;Jenna Dean;8/62/200/989
990;Komentarz317;Grupa 0;Dzial 2;Bernard Ellis ;5/80/236/990
991;Komentarz225;Grupa 0;Dzial 2;Al Welch ;10/75/296/991
992;Komentarz558;Grupa 0;Dzial 3;Janie Grant;18/71/203/992
993;Komentarz340;Grupa 1;Dzial 1;Orlando Delgado;10/37/129/993
994;Komentarz178;Grupa 2;Dzial 3;Corey Mccormick ;18/97/205/994
995;Komentarz813;Grupa 1;Dzial 1;Ernestine Mathis ;23/78/142/995
996;Komentarz720;Grupa 1;Dzial 1;Orlando Delgado;4/31/274/996
997;Komentarz413;Grupa 1;Dzial 1;Luther Ramsey ;10/37/294/997
998;Komentarz107;Grupa 2;Dzial 1;Marta Clarke;8/62/200/998
999;Komentarz953;Grupa 1;Dzial 1;Ernestine Mathis ;9/85/103/999
1000;Komentarz329;Grupa 2;Dzial 2;Christina Nguyen;1/33/111/1000
