Numer;Komentarz;Grupa;Dzial;Osoba;Odpowiedz na
815;Komentarz368;Grupa 0;Dzial 2;Noah Barnes ;207
816;Komentarz318;Grupa 2;Dzial 1;Alan Underwood ;256
817;Komentarz876;Grupa 0;Dzial 3;Jose Gilbert ;288
818;Komentarz864;Grupa 0;Dzial 2;Cora Moody ;115
819;Komentarz507;Grupa 1;Dzial 1;Angelica Hale;146
820;Komentarz984;Grupa 0;Dzial 2;Irene Sandoval;242
821;Komentarz440;Grupa 2;Dzial 2;Alberto Allison ;124
822;Komentarz268;Grupa 2;Dzial 0;Phil Briggs;268
823;Komentarz541;Grupa 2;Dzial 3;Corey Mccormick ;155
824;Komentarz281;Grupa 1;Dzial 1;Brett Swanson ;242
825;Komentarz406;Grupa 2;Dzial 2;Guy Moran ;112
826;Komentarz860;Grupa 2;Dzial 3;Corey Mccormick ;192
827;Komentarz302;Grupa 2;Dzial 1;Marta Clarke;319
828;Komentarz210;Grupa 0;Dzial 2;Bernard Ellis ;281
829;Komentarz489;Grupa 0;Dzial 2;Irene Sandoval;116
830;Komentarz89;Grupa 0;Dzial 2;Bernard Ellis ;201
831;Komentarz337;Grupa 2;Dzial 1;Alan Underwood ;297
832;Komentarz700;Grupa 0;Dzial 2;Bernard Ellis ;137
833;Komentarz161;Grupa 2;Dzial 2;Guy Moran ;274
834;Komentarz306;Grupa 2;Dzial 3;Shawn Santos ;106
835;Komentarz69;Grupa 0;Dzial 3;Paulette Mcdaniel ;245
836;Komentarz8;Grupa 0;Dzial 3;Lorraine Cortez ;319
837;Komentarz56;Grupa 0;Dzial 2;Noah Barnes ;140
838;Komentarz315;Grupa 2;Dzial 1;Alan Underwood ;221
839;Komentarz363;Grupa 2;Dzial 0;Phil Briggs;291
840;Komentarz46;Grupa 1;Dzial 1;Angelica Hale;117
841;Komentarz989;Grupa 2;Dzial 0;Cecelia Joseph;141
842;Komentarz10;Grupa 2;Dzial 3;Corey Mccormick ;300
843;Komentarz622;Grupa 1;Dzial 2;Tanya Bridges ;254
844;Komentarz713;Grupa 1;Dzial 1;Luther Ramsey ;111
845;Komentarz203;Grupa 1;Dzial 2;Tanya Bridges ;277
846;Komentarz162;Grupa 2;Dzial 0;Phil Briggs;164
847;Komentarz805;Grupa 2;Dzial 3;Corey Mccormick ;324
848;Komentarz449;Grupa 1;Dzial 0;Elsie Alvarez;271
849;Komentarz10;Grupa 0;Dzial 2;Jenna Dean;181
850;Komentarz132;Grupa 0;Dzial 2;Cora Moody ;148
851;Komentarz674;Grupa 2;Dzial 0;Cecelia Joseph;165
852;Komentarz943;Grupa 0;Dzial 3;Salvador Reese ;207
853;Komentarz571;Grupa 2;Dzial 1;Ramiro Thompson;276
854;Komentarz504;Grupa 2;Dzial 1;Diana Pierce ;128
855;Komentarz277;Grupa 2;Dzial 1;Roy Weaver ;212
856;Komentarz619;Grupa 0;Dzial 3;Janie Grant;176
857;Komentarz79;Grupa 1;Dzial 3;Rex Casey ;120
858;Komentarz951;Grupa 2;Dzial 3;Corey Mccormick ;245
859;Komentarz281;Grupa 1;Dzial 1;Ernestine Mathis ;159
860;Komentarz272;Grupa 2;Dzial 3;Corey Mccormick ;292
861;Komentarz231;Grupa 1;Dzial 2;Tanya Bridges ;293
862;Komentarz27;Grupa 1;Dzial 0;Alison Lyons;249
863;Komentarz901;Grupa 1;Dzial 3;Izydor Patryk;215
864;Komentarz389;Grupa 1;Dzial 1;Angelica Hale;221
865;Komentarz21;Grupa 2;Dzial 0;Phil Briggs;153
866;Komentarz101;Grupa 1;Dzial 0;Elsie Alvarez;184
867;Komentarz162;Grupa 2;Dzial 1;Diana Pierce ;289
868;Komentarz789;Grupa 1;Dzial 1;Elizabeth Conner;171
869;Komentarz65;Grupa 0;Dzial 2;Noah Barnes ;171
870;Komentarz845;Grupa 2;Dzial 1;Alan Underwood ;105
871;Komentarz299;Grupa 2;Dzial 2;Guy Moran ;304
872;Komentarz711;Grupa 0;Dzial 3;Naomi Shelton;219
873;Komentarz700;Grupa 1;Dzial 0;Elsie Alvarez;305
874;Komentarz868;Grupa 2;Dzial 0;Cecelia Joseph;206
875;Komentarz311;Grupa 0;Dzial 3;Jose Gilbert ;219
876;Komentarz310;Grupa 2;Dzial 0;Cecelia Joseph;280
877;Komentarz615;Grupa 2;Dzial 1;Alan Underwood ;283
878;Komentarz116;Grupa 2;Dzial 1;Roy Weaver ;131
879;Komentarz599;Grupa 0;Dzial 2;Jenna Dean;303
880;Komentarz657;Grupa 1;Dzial 1;Elizabeth Conner;267
881;Komentarz412;Grupa 2;Dzial 2;Christina Nguyen;312
882;Komentarz125;Grupa 2;Dzial 2;Guy Moran ;284
883;Komentarz990;Grupa 2;Dzial 2;Alberto Allison ;220
884;Komentarz698;Grupa 0;Dzial 2;Bernard Ellis ;271
885;Komentarz467;Grupa 2;Dzial 1;Ramiro Thompson;178
886;Komentarz425;Grupa 2;Dzial 1;Alan Underwood ;142
887;Komentarz131;Grupa 2;Dzial 1;Ramiro Thompson;258
888;Komentarz419;Grupa 2;Dzial 2;Christina Nguyen;190
889;Komentarz493;Grupa 2;Dzial 0;Cecelia Joseph;295
890;Komentarz632;Grupa 2;Dzial 3;Corey Mccormick ;201
891;Komentarz128;Grupa 2;Dzial 3;Shawn Santos ;193
892;Komentarz939;Grupa 2;Dzial 0;Cecelia Joseph;227
893;Komentarz939;Grupa 2;Dzial 2;Christina Nguyen;159
894;Komentarz475;Grupa 0;Dzial 2;Nora Roberts;199
895;Komentarz262;Grupa 0;Dzial 2;Nora Roberts;291
896;Komentarz308;Grupa 2;Dzial 3;Corey Mccormick ;138
897;Komentarz782;Grupa 1;Dzial 1;Orlando Delgado;290
898;Komentarz732;Grupa 2;Dzial 3;Corey Mccormick ;310
899;Komentarz461;Grupa 0;Dzial 2;Al Welch ;257
900;Komentarz903;Grupa 0;Dzial 2;Bernard Ellis ;241
901;Komentarz855;Grupa 0;Dzial 3;Naomi Shelton;157
902;Komentarz788;Grupa 2;Dzial 1;Marta Clarke;272
903;Komentarz327;Grupa 0;Dzial 2;Bernard Ellis ;236
904;Komentarz757;Grupa 0;Dzial 3;Lorraine Cortez ;255
905;Komentarz784;Grupa 1;Dzial 1;Ernestine Mathis ;123
906;Komentarz195;Grupa 1;Dzial 1;Luther Ramsey ;184
907;Komentarz229;Grupa 1;Dzial 1;Elizabeth Conner;103
908;Komentarz583;Grupa 1;Dzial 2;Tanya Bridges ;183
909;Komentarz241;Grupa 0;Dzial 2;Nora Roberts;182
910;Komentarz538;Grupa 2;Dzial 3;Shawn Santos ;127
911;Komentarz399;Grupa 2;Dzial 1;Roy Weaver ;289
912;Komentarz782;Grupa 1;Dzial 1;Ernestine Mathis ;112
913;Komentarz347;Grupa 0;Dzial 3;Paulette Mcdaniel ;128
914;Komentarz835;Grupa 0;Dzial 2;Irene Sandoval;188
915;Komentarz335;Grupa 0;Dzial 2;Jenna Dean;148
916;Komentarz323;Grupa 2;Dzial 2;Guy Moran ;304
917;Komentarz928;Grupa 2;Dzial 1;Marta Clarke;238
918;Komentarz22;Grupa 2;Dzial 1;Marta Clarke;117
919;Komentarz54;Grupa 2;Dzial 1;Diana Pierce ;214
920;Komentarz287;Grupa 1;Dzial 1;Elizabeth Conner;215
921;Komentarz215;Grupa 1;Dzial 1;Orlando Delgado;207
922;Komentarz893;Grupa 1;Dzial 1;Elizabeth Conner;254
923;Komentarz492;Grupa 1;Dzial 3;Rex Casey ;238
924;Komentarz587;Grupa 1;Dzial 1;Luther Ramsey ;158
925;Komentarz411;Grupa 0;Dzial 2;Cora Moody ;183
926;Komentarz888;Grupa 0;Dzial 2;Irene Sandoval;162
927;Komentarz604;Grupa 0;Dzial 3;Dennis Kelley ;139
928;Komentarz832;Grupa 0;Dzial 1;Frederick Mclaughlin;205
929;Komentarz708;Grupa 0;Dzial 2;Irene Sandoval;195
930;Komentarz961;Grupa 1;Dzial 1;Luther Ramsey ;229
931;Komentarz916;Grupa 1;Dzial 1;Brett Swanson ;130
932;Komentarz958;Grupa 0;Dzial 3;Lorraine Cortez ;172
933;Komentarz227;Grupa 1;Dzial 1;Luther Ramsey ;118
934;Komentarz904;Grupa 0;Dzial 3;Naomi Shelton;240
935;Komentarz864;Grupa 0;Dzial 2;Nora Roberts;210
936;Komentarz792;Grupa 0;Dzial 3;Paulette Mcdaniel ;235
937;Komentarz577;Grupa 0;Dzial 3;Dennis Kelley ;210
938;Komentarz214;Grupa 0;Dzial 3;Lorraine Cortez ;284
939;Komentarz487;Grupa 0;Dzial 2;Irene Sandoval;110
940;Komentarz142;Grupa 0;Dzial 3;Jose Gilbert ;201
941;Komentarz416;Grupa 2;Dzial 3;Corey Mccormick ;281
942;Komentarz189;Grupa 0;Dzial 2;Al Welch ;203
943;Komentarz387;Grupa 0;Dzial 2;Bernard Ellis ;260
944;Komentarz664;Grupa 2;Dzial 1;Ramiro Thompson;103
945;Komentarz847;Grupa 2;Dzial 2;Christina Nguyen;163
946;Komentarz486;Grupa 1;Dzial 0;Elsie Alvarez;278
947;Komentarz661;Grupa 1;Dzial 0;Alison Lyons;318
948;Komentarz193;Grupa 2;Dzial 1;Ramiro Thompson;295
949;Komentarz217;Grupa 1;Dzial 3;Rex Casey ;314
950;Komentarz521;Grupa 1;Dzial 0;Alison Lyons;103
951;Komentarz694;Grupa 2;Dzial 1;Alan Underwood ;283
952;Komentarz832;Grupa 1;Dzial 3;Izydor Patryk;178
953;Komentarz279;Grupa 0;Dzial 2;Al Welch ;184
954;Komentarz727;Grupa 2;Dzial 1;Diana Pierce ;148
955;Komentarz326;Grupa 0;Dzial 2;Irene Sandoval;295
956;Komentarz56;Grupa 0;Dzial 2;Bernard Ellis ;321
957;Komentarz912;Grupa 0;Dzial 2;Jenna Dean;163
958;Komentarz258;Grupa 1;Dzial 3;Izydor Patryk;109
959;Komentarz342;Grupa 0;Dzial 2;Cora Moody ;270
960;Komentarz800;Grupa 0;Dzial 3;Lorraine Cortez ;128
961;Komentarz366;Grupa 0;Dzial 3;Janie Grant;257
962;Komentarz242;Grupa 2;Dzial 2;Alberto Allison ;279
963;Komentarz641;Grupa 1;Dzial 1;Ernestine Mathis ;193
964;Komentarz795;Grupa 2;Dzial 2;Christina Nguyen;180
965;Komentarz979;Grupa 2;Dzial 1;Diana Pierce ;156
966;Komentarz649;Grupa 0;Dzial 2;Bernard Ellis ;124
967;Komentarz94;Grupa 2;Dzial 1;Diana Pierce ;145
968;Komentarz424;Grupa 0;Dzial 3;Dennis Kelley ;313
969;Komentarz343;Grupa 1;Dzial 1;Brett Swanson ;220
970;Komentarz919;Grupa 0;Dzial 3;Dennis Kelley ;252
971;Komentarz39;Grupa 2;Dzial 3;Corey Mccormick ;304
972;Komentarz825;Grupa 2;Dzial 1;Ramiro Thompson;261
973;Komentarz403;Grupa 1;Dzial 2;Tanya Bridges ;315
974;Komentarz526;Grupa 2;Dzial 1;Ramiro Thompson;167
975;Komentarz213;Grupa 2;Dzial 3;Corey Mccormick ;279
976;Komentarz679;Grupa 0;Dzial 2;Jenna Dean;252
977;Komentarz481;Grupa 0;Dzial 2;Nora Roberts;293
978;Komentarz70;Grupa 0;Dzial 3;Janie Grant;218
979;Komentarz616;Grupa 0;Dzial 3;Paulette Mcdaniel ;260
980;Komentarz916;Grupa 2;Dzial 1;Marta Clarke;112
981;Komentarz672;Grupa 2;Dzial 2;Alberto Allison ;141
982;Komentarz144;Grupa 2;Dzial 2;Alberto Allison ;296
983;Komentarz234;Grupa 0;Dzial 3;Naomi Shelton;304
984;Komentarz663;Grupa 2;Dzial 1;Roy Weaver ;173
985;Komentarz715;Grupa 0;Dzial 2;Cora Moody ;165
986;Komentarz358;Grupa 1;Dzial 2;Tanya Bridges ;305
987;Komentarz508;Grupa 0;Dzial 3;Paulette Mcdaniel ;201
988;Komentarz722;Grupa 2;Dzial 0;Phil Briggs;195
989;Komentarz10;Grupa 0;Dzial 2;Jenna Dean;200
990;Komentarz809;Grupa 0;Dzial 2;Bernard Ellis ;236
991;Komentarz126;Grupa 0;Dzial 2;Al Welch ;296
992;Komentarz590;Grupa 0;Dzial 3;Janie Grant;203
993;Komentarz790;Grupa 1;Dzial 1;Orlando Delgado;129
994;Komentarz801;Grupa 2;Dzial 3;Corey Mccormick ;205
995;Komentarz355;Grupa 1;Dzial 1;Ernestine Mathis ;142
996;Komentarz788;Grupa 1;Dzial 1;Orlando Delgado;274
997;Komentarz377;Grupa 1;Dzial 1;Luther Ramsey ;294
998;Komentarz15;Grupa 2;Dzial 1;Marta Clarke;200
999;Komentarz665;Grupa 1;Dzial 1;Ernestine Mathis ;103
1000;Komentarz29;Grupa 2;Dzial 2;Christina Nguyen;111
